alabel,message
illegitime,Anyone can be cool but awesomeness like yours takes practice.
illegitime,"Are you a God fearing woman? I am a God fearing man, I do have my Christian faith to credit for my life, attitude and success; however, I don't use the name of God to attract women for my character speaks for itself. I am not the type of man who is focused entirely on himself."
illegitime,Are you a left or right handed person? I am a right handed person
illegitime,"Are you a sports fan? And what are your favorite sports? I have a passion for sports and my favorite sport is football and I also like Sea Fishing, kayaking, boating, sailing are my sports of choice. I’m not afraid to speak my mind, trust my gut, and follow my heart. Even if it gets me in trouble...lol"
illegitime,"Are you financially stable? Yes of course I am financially stable, I do receive a high income from my Job so there's no need for me to be afraid of any financial situation."
illegitime,"Are you willing to relocate if you find your soul mate? For me it depends on my soul mate; If she willingly wants me relocate to Her Home, its okay with me, but if she likes to relocate to my Home that will be fine so long as we stick together as ONE, Perhaps she might want us to Buy another Home, it fine as long as she's the happiest Woman on Earth"
illegitime,"As regards all our conversation, the things we have known about each other, the lovely pictures, I make bold to say, ‘I love you!’ I want you to look at those pictures of ours, do you ever think any other person could match us? My answer is NO! We are created for each other. No matter who we are, no matter how stone hearted we may be, every human being knows what they feel immediately they see the opposite sex, be it in the picture or physically. If you feel just likeness for someone, you know. If you feel like having sex with someone, you know. If you feel you want someone to be yours forever, you also know. All these feelings are our bodies telling us what they want. But instead of most people giving their bodies and spirit what they want, they tend to give them bad food, I mean bad partners. And you know, the bodies will reject them either immediately or someday. You might have been through a terrible past just like me, but it shouldn’t destroy our yet to come, beautiful future. Because, if we close our eyes and wait for all the bad people of this world to pass by, the good ones will also pass and we won’t notice."
illegitime,"At that point, what he was saying wasn’t what I wanted to hear so I just grabbed my check from him and walked out. I went on to another different bank and on to another one and on to another one and on to five different banks and I heard the same statement. Dear, you can’t imagine how I was sweating inside air condition. I felt so sad and so I decided to go and see the ticketing agent who booked my flight. since I was not having a dime to pay him, I had to sit at his office and explain my situation to him. I never told him of the check I got because I don’t trust these people. I only told him I will send his money as soon as I get to the States but he will never comprehend. He threatened to cancel my flight if I don’t pay him. I told him to still reserve it and that I will get back to him. My love, I have faith that the god who protected us this far will also help us on the remaining part of our journey. Please let your mind be at peace now because I already got what I came here to work for. My check is in my own hand and that is a guarantee that you will get all you have ever loaned me or will ever loan me. I mean I don’t expect you to panic now regardless of the amount I may need. The flight is only South African Rand, R17,468.00 ($2,257.03). I am supposed to pay $60 for taxi and $180 for the truck to move my equipments to the airport. This brings every thing to a sum of $2,497.03. Though I have a $1,980 deficit at the hotel but I can still beg the manager to allow me pay when I get over and I know he would listen. He seems the only reasonable person I know here. Please honey, I don’t want to remain here. No matter how hard this has become, just relax your mind, it will all end in a matter of hours when I arrive. My luggage is all packed. I only need to pay the agent and move my things to the airport. Thank you for your support right from the beginning till now and forever. I know we will never give up on each other. I want to touch you, hug you and feel your breath on me starting from tomorrow on. PLEASE ATTEND TO THIS QUICKLY!!! I wait for your call or email. Missing you already…. Your Hero,"
illegitime,"baby I can't stand not being with you and and you being so far away. I've been struggling with this for so long baby. I want u to know that you are with me' always, my thoughts are on you constantly baby and that will never change. Baby am in love with you so deep. Am desperate to feel your arms around me' baby. You are my sweet baby Girl, just need you to know how much I care. Missing you and loving you always xoxoxoxoxo"
illegitime,"Basically, all I do each business day is supervise the workers, monitor the jobs and make corrections and I have been doing this for more than one year. I know your mind is telling you it may be boring to do same thing each day (lol), but it’s never boring for I have the most interesting workers ever. We are like a large family and every one is always happy."
illegitime,"By the way, What kind of dates do u prefer?? Well as for me i prefer private dates, with my woman and myself alone. I guess i like the private moments when we can share intimate things. Talk about plans, desires, feelings. As I said before, I'm quite physical. I love to hug and touch and be touched. I love to show affection to my woman and i love it when she's very affectionate with me. I love women and i always desire to respect them. When i have been with a woman, i have never taken advantage of them unless they do took advantage of me. Even when they want me to be physical with them, I always want only to honor and respect them."
illegitime,"Can you tell me more about yourself??????. Well am really looking for a long term and serious relationship,I need a woman that will love me for whom i am,Make me happy again..Am also gonna show in a lot of caring ways in return,Am new on this dating stuff and i really hope i can make som,ething real with you and leave this internet stuff soon...."
illegitime,Could you please reply to this message and make me feel like the luckiest person in the world?
illegitime,"Darling, I lost life when I lost Mary; I found you and you brought me back alive. I am living once again, thank you so much. Even though I have succeeded in other areas of life, if I have not found you, I would still be like an unfortunate man. Love is all we need to stay alive for real. This morning, I am writing you from the top of my office table standing on my feet because I am supposed to be outside with the inspection team, but when I stood up to go, I could not, your thought in my mind logged on into my google account and here I am still writing.lol. Dear, if you have been loved in the past, know that that love is not enough, if you have been happy in the past, know that you didn’t get the dept of happiness you deserve, if you ever have been caress in your life, know that you haven’t got a clue, when all this inspection of a thing is finally completed and I step into my flight coming to you, prepare yourself to be loved above all women, prepare your mind to be the happiest woman on earth and prepare your life to be caressed like never before, I will spoil you with every thing honey. I wish I didn’t have to miss you. If only you could be with me always. I know I could never be any happier. But then again, I know that the day is now, when I will be able to spend my every waking moment with you. I even miss you when I am sleeping!"
illegitime,"Dear Hon, Good morning to you. Thank you so much for all your love, care and support. Today, I woke up beside you. I felt your touch, your breath, your early morning smile and kiss. I wish I didn’t have to miss you. If only you could be with me always. I know I could never be any happier. But then again, I know that tomorrow I will be able to spend my every waking moment with you. I even miss you when I am sleeping! I love you, babe. You are my now and ever, my only love, and I thank you for being so kind with my heart. Hopefully, in less than 48hrs, I won’t have to hate missing you. I’m going to the warehouse now to arrange for how my equipments would be transported to the airport. Then I will come back to the hotel room to relax again and prepare for the long 32h45mins journey. I will call you when I’m about leaving for the airport. Feeling you in my hands already (lol). Love Always,"
illegitime,"Dear, I am not afraid and I can never be. I am bold and proud of you, I love you for you, not for any particular reason because the love I have for you is unquestionable, true love indeed! Love and death are things one can not question because you can not say where, when or how. Love catches up with us and we find our-self in deep dept. I love you unconditionally my …… This is why I have never asked any particular question because I know it doesn’t matter any way, I am in love already, to stay and never let go no matter what we go through. I understand love hurts especially when one does not get equal love but our love will never hurt honey, I promise on my life. I swear by the day I was born, the day I shall die and the day I shall rise again, I will love you through the thick and thin. I will love you through eternity. I will be your shoulder if you ever need a shoulder to lean on. I will be there for you through all seasons, weather, condition and any situation. For you, I will fly with the angels just to protect and guide you from any kind of worries. I will be there and never leave. On my life, I swear! Please promise me you will never hurt me nor break my heart too. All I’m asking is equal love, a love that is unconditional, true love that lives even after death. That is all I’m asking honey or is it too much (lol). As far as our love is reciprocal, we will be happy together cos we will always understand each other, tolerate one another and endure in any kind of situation. Our life will be filled with so much joy and fulfillment of heart. We will never cry nor have any reason to. I love you ……!"
illegitime,"Dear, I love you! And I love you! You have done for me, what no other person can do. You have loved me the way no one can ever do. You have brought to me, a kind of happiness no one can ever bring. You have walked with me in the darkest night no one else could dare. You have crossed with me, the most dangerous bridge. You have shown me, a commitment no one else could ever show. You have proved beyond doubt the reason for me to wanting to wake up every day. You have said to me, the best words ever. I feel like someone in paradise as the King of Kings and you the Queen of Queens. To love you through eternity, is no doubt. Good morning greatest of lovers. It’s Ben waking you with a smile. I LOVE YOU!"
illegitime,"Dear, I think about you every second of every day. When I fall asleep, my dreams are about you. When I wake up, I look at the empty pillow next to me and wish you were there looking into my eyes. I wish I could tell you how I really feel. Dear I want a long term relationship and one that will last forever but now we have to take it slow and get to know more about each other better."
illegitime,"Dear, if you are placed in the midst of a million women and I am to pick, I know I will figure you out without the least mistake. If the whole water, the oceans and the seas on earth, together with the ones in heaven are joined together and turned into ink; and the whole trees in the forest are turned into pen and I am told to write how much I adore you, I will use all the ink and pen and still have more to write. If I am to count how much I treasure you with the stones on earth, I bet I will empty the earth and will have have more to count. Even when I die and I have the opportunity to make only one wish, I would still wish that we spend our eternal life together in heaven."
illegitime,"Dear, today was more brief as the professions would not discuss any further but concluded they won’t start any work until they have the first $40k in hand. I have no choice, I contacted Nelson immediately and glory be to God, he would help me with $15k with the $15k I have with me which means I would have $30k by tomorrow when Nelson sends the money. I also have a pure white gold wrist watch that I bought for $7k when I was in Dubai. I will take it to the pawn shop tomorrow and see what I can get on it. But even if I get the same $7k, I will still be looking for $3k. Who else do I turn to? I have thought over this again and again but what can I do? If I can tell a friend my problem and he listens and ready to help, why won’t I be able to share it with my own wife."
illegitime,"Dear, you bring to me a happiness no one else has before. You bring to me a love I have never known before. I could not imagine what my life would be like without you. I know that I don’t want to even imagine. You have touched my heart in ways no one could ever comprehend. I love being with you and I want to spend the rest of my life with you. My Wonderful angel there is nothing on this Earth that I could ever give you that would ever come close to how I feel about you. I want to be with you for the rest of your life, and I know you feel the same. If only you knew how much I want to stay in your life. Love Always,"
illegitime,"Dearest , I am in the middle of work and very busy now. You already make me feel like the luckiest man on earth. I will write you again first thing when I’m free cos I’ll be thinking and thinking of you all through. My dream is to travel to all the beautiful places and see all the wonders in the world with my woman. I can’t wait to be on the London eye side by side with my woman, to be in Paris to see my mother and all its beauty, in the gorgeous Sydney Australia, in the beautiful Bahamas, once again in Dubai to spend time together in my house (if I haven’t found a tenant before then) and the rest of the world. Meeting you and hopefully, starting a new life with you is the surest thing. Just be patient, I will be retired in only few weeks. Sending smiles~"
illegitime,"Dearest LO, Baby, you have been gone for almost a century (lol), and only yesterday, your voice tells me you are always with me. I wish you were right here with me now so it wouldn’t be so hard for me to lay lonely in bed. I can’t help but to love you with every beat of my heart, and with every ounce of my soul. You are the absolute best thing to ever happen in my life. And, you are the most sensitive, caring, tender, considerate, loving woman I have ever met. You are simply amazing. I would never dream of letting you go, and I wouldn’t be able to live another breath in this world if I didn’t have you on my side, as my wife, lover, and friend."
illegitime,"Dearest LO, Good morning to you. It’s the beginning of another brand new day and I was thinking about you, as usual.. No matter how much things screwed up, you were determined to keep our love alive. I’ll never be able to thank you enough for that. You are the reason I live, breathe, love and laugh. You mean everything to me. I want you to know how much I sincerely love the times we’ve spent communicating. It means so much to me. It truly seems like I’ve known you forever and I honestly can’t imagine life without you now. There will be no looking back, no second thoughts and no regrets. I want you and need only you … and that love will only grow stronger. Do not be scared my love. Sometimes life hits you with unexpected things that take you totally by surprise. All I can say is you’re the best surprise life has given me and your capacity for love, caring, and understanding never ceases to amaze me. I’ve truly been blessed by finding you and I’ll never let you go! Your VE"
illegitime,"Dearest One, Just had time to check my emails now and I just want to quickly reply to your message. Thank you for taking the time to read my long emails and replying to them. I know this isn’t our make but our destiny. We didn’t join the dating site because we already know we are going to meet one another but we joined because we are looking for our soul mates, I mean one created from our ribs and we are so lucky to find us. god, thank you! I don’t think there’s is something else I would have asked of. You are the best thing happening to me in many years honey and I pray that soon,"
illegitime,"Delay Darling, I have been trying to reach you on phone but I guess network has been a jerk. I am just coming back from the South Africa tax office, Johannesburg with the customs officer who is to find out about my tax payment on the equipments. Last night while I was already in the plane and my and equipments were till under check, just when the flight was about to get ready for us to take off. A custom man came in and called my name, they asked of my tax clearance on the equipments since I told them I used the equipments in their country working on a building project for over one year (14 Months). They wanted to call the tax office same time to verify if I am good to go but they were closed so they delayed me till this morning and promised that I would fly on the next flight. Right now, we just got back from the tax office where I was checked and billed. They said during the course of such a big project, I ought to be paying R8,961.91 ($1,099.00 USD) which is about R116,504.83 ($14,287.00) for thirteen months. The tax office is not a body I can negotiate with so I didn’t even try to tell them I will pay them once I clear my check because I don’t want any one else to know I have a check of such a huge amount. I am at the airport now thinking of moving back to the hotel room and explain things to them if they would allow me stay for the time being. I have my luggage but I don’t know if they would release my equipments to me. I asked if I could leave the equipments and then come back for it, they said that is not an option, the worst of it is that each day my equipments stays at the airport, I pay additional R350 ($42.7602 USD)."
illegitime,"Describe the perfect vacation you have had? It was way back flying to Paris with my daugmm, then taking a train through France, Switzerland, Italy, Yugoslavia, and Greece. Then spending 1 month on Santorini a Greek Island together with my son. I had the time of my life, and these are my fondest memories. I will do it again."
illegitime,"Do you any tattoos and body piercings? I don't have any tattoo, but I do have my left ear pieced and some times I do wear earrings...lol Can you drive a vehicle? Do you have a car? I have 2 cars that I drive when I am back in town; I have a Benz G Class 2012 and a Mitsubishi Outlander 2012, but love to get a new one for myself and for you baby, because you happen to be the apple of my eyes and that I believe I will accomplish as soon as I finish my Contract"
illegitime,"Do you believe in true love? Yes, I do."
illegitime,"Do you believe that you have a good heart to care for people unconditionally? If you found a hundred dollar bill on the road and see a hungry orphan, would you feed him? If you get into an argument with me, and I pull you close to kiss you, would you still kiss me back? Would you love those close to me as I would love all those who matter to you? If I bring you breakfast to your bed would you kiss after saying thanks? Do you love to run away with me sometimes where we would be out of business environment to spend quality time together? Do you believe the world should concentrate more on peace projects than war funding?"
illegitime,Do you ever feel like something really great is about to happen? I kind of feel that way now.
illegitime,"Do you have a favorite musician in particular? Hmm, Don Williams is a nice artist who inspires me in terms of music for that he is my number one musician."
illegitime,"Do you have any favorite sport team you support in particular? Manchester United football club that’s my team, I love their pattern of playing when I am in town I love travelling going to watch their match together with my daughter."
illegitime,"Do you have faith that every man is the architect of his own destiny? Do you believe that Life without Love is like a harp without strings? Do you know that, You can’t make someone love you, all you can do is be someone who can be loved, the rest is up to the person to realize your worth? If God is the DJ, then Life is the dance floor; Love is the rhythm, and You might be my rythm? If you have said yes to all these and you say no to my next question then you might not really know what you want then (lol). WOULD YOU BE MINE TODAY , TOMORROW AND TILL END OF TIME? I know the possibility of thinking, this man I haven’t met, how can there be these feelings? What does he know about me? But I can tell you the truth about life. The people you have met and probably fallen in love with, what do they know about you that you think I don’t know? Probably, just some physical things, like smell, sense of touch, and body physics, and that is all. But these few things are the least things to love for. These are just sentimental values that are found in many at good length. The main things to love for are the abilities to agree on phenomena, and sense of directions. The unexplained attraction to someone’s words, which is life itself. These are the only things that matters deep down. How best can one get these things better than meeting in writings? Where you can escape the sentimental factors I mentioned earlier and once we meet, the biggest sentiments is there and one wouldn’t be able to help but start the feelings from there"
illegitime,"Do you know what went wrong in your past relationship? Cheating and lies made my last relationship ended. I am a very comprehensive person. When there is something wrong with my relationship, I don’t fight, and be hysterical, I like to talk. A better conversation is always the best solution for everything, but of course with every experience you learn more how to deal, and always there is something new for you to discover."
illegitime,Do you like holding hands and exchanging casual kisses with your partner? Yes...Holding her close and make her feel the warmth of my body while kissing her.
illegitime,Do you like to re-marry again? I can remarry again when she love me and love my daughter so much that she care about the family been together as one big family with so much.
illegitime,"Do you seek for a particular age before coming into online Dating? How old are you? I'm 50 years old. I do not seek for a particular age, because I feel age is numbers, you do not know where love can hit you up from. It can be someone younger than you or perhaps older than you."
illegitime,"Do you smoke cigarettes or drink alcohol or do drugs? I am a normal guy; I do not take drugs to keep me on track. I had never smoked in my life neither used drugs and never pretend too, because it's not for me. If I drink alcohol; well I drink socially, if I go out with some friends and they are drinking something light its okay."
illegitime,"do you think we are seeking for the samething in a relationship? i do think that we are seeking for the samething well lets see where it will lead us to......i wanted to get to know you more about you that was the reason i messaged you,i am not a guy that use and dump women no no no i am a very faithful and Godly man,i know how to handle my woman heart and keep it safe in other not to miss it,so i know how to handle my woman just the way people handle Golds and fragile items,i expect what i give out to my woman in return"
illegitime,"Do you think you can be trusted by your man? Yes of course I can be trusted, because I am ready to open up my mind and my heart and also lay down my life for the woman I love."
illegitime,Double thumbs up to you.
illegitime,"ELECTRICAL INSTALLATION COMPLETED! Glory be to god! I am at the construction site already. The professionals did a great job! I felt very happy when I got here this morning and saw they fulfilled their promise. Now, another three more days to go. My local labours only need to cover the pipes with the pop and that is the end. Oh my goodness! Three more days, wish it can run very fast in only 24hrs."
illegitime,"Even though these people spoil my mood today, I feel different since I got to write you and I am getting happy just because I looked down my heart and find you smiling at me. I love you so much than words can ever express. Just know that you mean a lot to me ok? And I really appreciate you dear. We are such a perfect match. The joy I feel in recent days is my best. Please let me know how you are doing. Your Husband,"
illegitime,Flirty/Funny Hellos:
illegitime,For being the woman of my dreams and helping me to see… That loving someone like you can truly set one free! I so much appreciate the will I so much cherish your generosity For you to understand That there are people in this world Who indeed need our help For every finger we point We get four to ourselves For every good we do We get multiple of folds in return Then what can be more rewarding than helping others When the road seems stalled You never gave up Contributions came in from two angels A friend and you despite the world population
illegitime,"FOR EVERY DREAM YOU MADE COME THROUGH I WILL BE THANKFUL FOREVER I NEED YOU MORE THAN ANY ONE CAN KNOW AND I COULDN’T LIVE A DAY WITHOUT YOU I HAVE BUILT MY WORLD AROUND YOU AND NOTHING WILL CHANGE MY LOVE FOR YOU SMILE NOW AND HUG ME, KISS ME COS I AM THERE WITH YOU."
illegitime,"GOING TO THE BANK Sweetie, How are you doing? and how did your yesterday go? Hope you all had fun? I am fine over, just been thinking too much about you and missing you so badly. Honey, I love you with every part of my being. I want to marry your soul and I have. I dream of nobody else. Everyday is a true struggle when I’m not with you. If I could conjure up all the power in the world to translate my love to every form of living: physical and spiritual, I would. You are my everything, and I love you more than life itself. I love you truly!"
illegitime,"Good morning to you sweet love, Good morning to you sweet love, “Love means making the other happy, even from a distance.” … Thank you for making me happy “Love is knowing you are the bud from which his happiness blossoms.” … My love, you are the bud from which my happiness blossom “Happiness is falling asleep next to you and waking up thinking I’m still in my dreams.” … This has been my every night dream since I found you honey “Where your pleasure is, there is your treasure: where your treasure, there your heart; where your heart, there your happiness.” … You are the home for my pleasure, my treasure, my heart and my happiness “Happiness is the only thing on earth that cannot be paid by any diamonds, gold or money.” … Who says your love can be bought? Not in this life time honey… Our love is priceless."
illegitime,"Good morning to you. I know if I put the way I feel after talking to you yesterday into writing, it will never be enough. So just give me a thousand pages and let me write this. I love the way you talk, I love the way you smile, I love the way you laugh, I love your beauty, I love that passion in you, I love that woman you are, I love you for you and I love that it is you I did find. After talking to you yesterday, I went to bed and tried to sleep but never, I spent another an hour or more in bed just thinking about this miracle happening to me. You can imagine a lonely man for nine years suddenly in love again, you are truly heaven sent."
illegitime,"GREATEST HEART ROBBER! Hello the great heart robber (lol), I want you to know that everything you do for me reassures me that I am appreciated. I want you to know that you mean so much to me. From the first day we found each other, we were determined to get to know one another. From that very moment, I knew it was you and we quickly grew on getting to know each other. I want you to know that every moment since that first day holds a special place in my heart. I was afraid at first that if I let you in I’d regret it, but I haven’t regretted a single moment. I trust you, and I know you’ll be there for me no matter what. I trust that you’ll be faithful to me and that you won’t hurt my heart."
illegitime,"Happy day to you my love, “Hi, Baby, I love you,” that’s always how we start. Those five simple words always bring a smile to my face and song to my heart. I am just writing this here because it’s the only way I know that I can shout to the world I love you! The day you came into my life a miracle happened. One minute I was resigned to the fact that love was a part of my past, something although painful to think about, was nothing more than mere memory. And then there you were. You opened my heart in ways it had never been opened before. You awakened a part of me that had lay dormant all of life. Although I had loved and been loved before, never had it been so intense and so deep as what we feel for each other. This much I am sure of, we share a love so true that I have never before experienced the true joy of complete empowering, soul-felt love as we share."
illegitime,"Happy Tuesday My Dearest Co-pilot, How are you doing this morning? I hope this message meets you in a happy mood. I am emailing you this early hour because I was far asleep when you called and I hate that I missed your call. I really can’t wait any longer. I just want to finish this project and start my new life with you "
illegitime,"Have you ever danced in a rain? Give it a trial and see how free your soul really is. Every thing I want to do for the rest of my life, I want to do them with you. Will email you again today after our meeting. Please call me when you wake up, I am dieing to hear your voice. Yours Forever,"
illegitime,"Have you ever thought of leaving your country in search of the man you want to be with in the future? Yeah, like I said; I would swim a Thousand Rivers and Climb a Hundred Walls just to be with the Person I Love"
illegitime,Have you talked about your feelings with someone else? Yes and you are the only person whom I am sharing my feelings with.
illegitime,"Hello , I am so happy to read from you and most importantly, to know we are both looking for the same thing in life. Where do I start from? Really, it is disturbing to go on that dating site to see how much people appreciate love, but yet, we have to go the extra mile to get this great status. I have a beautiful home in stockton,CA and seeks a beautiful angel, both inward and outward. Forgive my manners, my name is Ben Johnson, a global contractor.I own my construction company I deal basically in oil platforms, rig constructions, renovations, over water bridges, interior decors and some art works. Trust me, I can add to your beauty (lol). But I am really thinking of hanging the hat this year. Been through many ups and downs in life, yet, I am blessed in some other ways. I mean after getting to the top of success, I have come to realize that we are nothing without a partner. I mean someone who would stand by me no matter the situation. A woman who I can say, she alone has the right to be womanly irritating to me (lol). A witch who would protect me like a lioness would do her cub (lol). And I can promise to protect her beyond all vices. A woman who tells me, honey, you can do it, no matter what I want to do. I have really worked hard in the past 12 yrs to get to this height."
illegitime,Hello amazingness.
